retriever,judge,bin,mean_precision,n_queries,n_docs_judged
BM25,Human,1-5,0.144,960,4800
BM25,Human,6-10,0.0752,960,4800
BM25,Human,11-25,0.0343,960,14400
BM25,Human,26-50,0.0159,960,24000
BM25,Human,51-100,0.007,960,48000
BM25,Qwen2.5-7B,1-5,0.5961,634,1166
BM25,Qwen2.5-7B,6-10,0.414,497,770
BM25,Qwen2.5-7B,11-25,0.3777,652,1379
BM25,Qwen2.5-7B,26-50,0.3332,607,1203
BM25,Qwen2.5-7B,51-100,0.3069,597,1098
BM25,DeepSeek-V3,1-5,0.5607,634,1166
BM25,DeepSeek-V3,6-10,0.4094,497,770
BM25,DeepSeek-V3,11-25,0.3542,652,1379
BM25,DeepSeek-V3,26-50,0.2917,607,1203
BM25,DeepSeek-V3,51-100,0.28,597,1098
BM25,ChatGPT,1-5,0.4815,567,1042
BM25,ChatGPT,6-10,0.366,454,706
BM25,ChatGPT,11-25,0.3116,594,1246
BM25,ChatGPT,26-50,0.2479,548,1080
BM25,ChatGPT,51-100,0.2395,544,988
BM25,Llama3-default,1-5,0.9142,634,1166
BM25,Llama3-default,6-10,0.8545,497,770
BM25,Llama3-default,11-25,0.8194,652,1379
BM25,Llama3-default,26-50,0.78,607,1203
BM25,Llama3-default,51-100,0.6902,597,1098
BM25,Llama3-strict,1-5,0.6623,634,1166
BM25,Llama3-strict,6-10,0.5182,497,770
BM25,Llama3-strict,11-25,0.4673,652,1379
BM25,Llama3-strict,26-50,0.4417,607,1203
BM25,Llama3-strict,51-100,0.3732,597,1098
BM25,Llama3-vllm-fs-basic,1-5,0.7244,634,1166
BM25,Llama3-vllm-fs-basic,6-10,0.5934,497,770
BM25,Llama3-vllm-fs-basic,11-25,0.5477,652,1379
BM25,Llama3-vllm-fs-basic,26-50,0.5087,607,1203
BM25,Llama3-vllm-fs-basic,51-100,0.4615,597,1098
BM25,Llama3-vllm-fs-bing,1-5,0.6303,634,1166
BM25,Llama3-vllm-fs-bing,6-10,0.4826,497,770
BM25,Llama3-vllm-fs-bing,11-25,0.4362,652,1379
BM25,Llama3-vllm-fs-bing,26-50,0.3827,607,1203
BM25,Llama3-vllm-fs-bing,51-100,0.3456,597,1098
BM25,Llama3-vllm-zs-basic,1-5,0.8606,634,1166
BM25,Llama3-vllm-zs-basic,6-10,0.7514,497,770
BM25,Llama3-vllm-zs-basic,11-25,0.7105,652,1379
BM25,Llama3-vllm-zs-basic,26-50,0.6537,607,1203
BM25,Llama3-vllm-zs-basic,51-100,0.6101,597,1098
BM25,Gemma2-vllm-zs-bing,1-5,0.6706,634,1166
BM25,Gemma2-vllm-zs-bing,6-10,0.5446,497,770
BM25,Gemma2-vllm-zs-bing,11-25,0.4955,652,1379
BM25,Gemma2-vllm-zs-bing,26-50,0.4674,607,1203
BM25,Gemma2-vllm-zs-bing,51-100,0.4228,597,1098
BM25,Gemma2-vllm-zs-bing-strict,1-5,0.7016,634,1166
BM25,Gemma2-vllm-zs-bing-strict,6-10,0.5923,497,770
BM25,Gemma2-vllm-zs-bing-strict,11-25,0.5434,652,1379
BM25,Gemma2-vllm-zs-bing-strict,26-50,0.5093,607,1203
BM25,Gemma2-vllm-zs-bing-strict,51-100,0.4811,597,1098
BGE-M3,Human,1-5,0.2802,960,4800
BGE-M3,Human,6-10,0.0929,960,4800
BGE-M3,Human,11-25,0.0344,960,14400
BGE-M3,Human,26-50,0.012,960,24000
BGE-M3,Human,51-100,0.0039,960,48000
