epic_id,epic_name,task_id,task_name,task_detail,type,status,owner,notes
0,Data Setup,E0T1,Download MIRACL-ID,Download corpus + train + dev splits dari HuggingFace MIRACL dataset,setup,done,Faiz,~1.44M passages corpus + query splits
0,Data Setup,E0T2,Split train/val/test,80/20 split dari MIRACL train set; seed=42; train=3257 val=814 test=960 queries,setup,done,Faiz,Test = MIRACL dev set (ada human qrels)
0,Data Setup,E0T3,Upload ke HuggingFace,Upload semua data ke fassabilf/umbrela-indo-ir dataset repo,setup,done,Faiz,Biar semua anggota tim bisa akses
1,LLM Judge Inference,E1T1,Qwen2.5-7B qrel generation,Generate qrels untuk semua split (test=9668 train=33076 val=8282 pairs) pakai prompt zeroshot_bing,experiment,done,Faiz,Bug fixed: filter None dari terminator tokens supaya kappa tidak NaN
1,LLM Judge Inference,E1T2,SahabatAI-Gemma2-9B qrel generation,Generate qrels untuk semua split; model Indonesian-specific,experiment,done,Radit,Pos rate 41.23% (lebih tinggi dari human 31.94%)
1,LLM Judge Inference,E1T3,SahabatAI-Llama3-8B qrel generation,Generate qrels; test selesai (9668); train baru 16829/33076,experiment,in-progress,Vincent,Default prompt pos rate 67% (kappa 0.21); butuh strict prompt untuk hasil wajar
1,LLM Judge Inference,E1T4,DeepSeek-V3 qrel generation,Generate qrels untuk test split (9668 pairs) via API,experiment,done,Vincent,Best judge: kappa=0.4219; paling konservatif (pos rate 27.99%)
1,LLM Judge Inference,E1T5,ChatGPT gpt-4o-mini qrel generation,Generate qrels via OpenAI API; partial 6751 pairs dari 9668,experiment,done,Vincent,kappa=0.3856; API-based jadi paling mahal
2,Kappa Analysis (RQ1),E2T1,Compute kappa per judge,Binarize LLM scores (score>=2 = relevant) lalu compute Cohen's kappa vs human qrels,analysis,done,Faiz,test: Qwen=0.3767 Gemma2=0.3763 Llama3=0.3652 DeepSeek=0.4219 GPT=0.3856
2,Kappa Analysis (RQ1),E2T2,Compile kappa comparison table,Tabel semua judge + kappa + pos rate + n_pairs,analysis,done,Faiz,results/final/kappa*.csv
2,Kappa Analysis (RQ1),E2T3,Analisis positivity rate per judge,Bandingkan pos rate LLM (28%-67%) vs human (31.94%); insight kalibrasi judge,analysis,done,Faiz,Range lebar: Llama3 default 66.66% vs DeepSeek 27.99%
3,First-Stage Retrieval,E3T1,BM25 top-100 all splits,BM25 pakai bm25s library (Java-free); k1=1.5 b=0.75; top-100 per query,experiment,done,Arvin,candidates/bm25_{train,val,test}_top100.jsonl
